Low Pole,remove,Reason,High Pole ,remove,Reason
000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize.jpg,0,repeat ,sun_bmlswqhfomvwnbnc.jpg,1,people 
000601_2014-06-09_16-48-31_260595134347_rgbf000133-resize.jpg,0,clutter ,sun_awwhkjgubqedifjf.jpg,1,people 
000828_2014-06-04_19-48-29_260595134347_rgbf000105-resize.jpg,1,repeat ,sun_awpygoncvcbwwevb.jpg,1,people 
002640_2014-06-24_14-51-49_094959634447_rgbf000071-resize.jpg,1,Same room,sun_alrvpvpmsndbnsmi.jpg,1,verify that this is high 
002641_2014-06-24_14-52-01_094959634447_rgbf000061-resize.jpg,0,Same room,sun_aiwdglrsrkkfbgzz.jpg,1,people 
002647_2014-06-24_14-54-29_094959634447_rgbf000067-resize.jpg,1,Same room,sun_afefkxscdspuddob.jpg,1,people 
002858_2014-06-03_19-00-45_094959634447_rgbf000171-resize.jpg,1,clutter?,sun_aebarclxjssfwxyk.jpg,1,verify that this is high 
002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize.jpg,1,clutter ,sun_abufhmovlhmdarxn.jpg,1,people 
003099_2014-06-24_21-04-53_094959634447_rgbf000076-resize.jpg,0,Same room ,000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize.jpg,1,clutter 
003102_2014-06-24_21-05-50_094959634447_rgbf000070-resize.jpg,0,Same room ,,,
sun_abcjxvviqsjjwuao.jpg,1,is this low? multple walls hard to find central point ,,,
sun_adzbkrvisvmtpxee.jpg,1,verify that this is low ,,,
sun_akavuoxhsnrshjtb.jpg,1,verify that this is low ,,,
sun_amfzhbvtrslclwdb.jpg,0,verify that this is low ,,,
sun_amsnpilufjouvhym.jpg,1,verify that this is low ,,,
sun_anayhfpicarrbnyp.jpg,1,verify that this is low ,,,
sun_aoecfksqojgzuotk.jpg,1,verify that this is low ,,,
sun_avizukluogzorelh.jpg,1,verify that this is low ,,,
sun_azpakkjmwgucbbac.jpg,1,verify that this is low ,,,
sun_bajlayyngiopgdzi.jpg,0,clutter,,,
sun_baphkzwyhkodgwey.jpg,0,verify that this is low ,,,
sun_bepxaqgzuwlkjzge.jpg,1,clutter,,,
sun_bzqzzzcwdlfjmozr.jpg,1,clutter,,,
000602_2014-06-09_16-48-52_260595134347_rgbf000117-resize.jpg,1,low exposure ,,,