RA,Image,Reason
Jacky ,000019_2014-05-26_14-40-57_260595134347_rgbf000061-resize.jpg,bad angle 
Jacky ,000431_2014-06-08_18-52-18_260595134347_rgbf000187-resize.jpg,clutter
Jacky,000432_2014-06-09_22-26-55_260595134347_rgbf000109-resize.jpg,clutter
Jacky,000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize.jpg,clutter
Jacky,000601_2014-06-09_16-48-31_260595134347_rgbf000133-resize.jpg,clutter
Jacky,000602_2014-06-09_16-48-52_260595134347_rgbf000117-resize.jpg,clutter
Jacky,000616_2014-06-09_17-03-45_260595134347_rgbf000132-resize.jpg,clutter
Jacky,000740_2014-06-08_18-46-23_260595134347_rgbf000049-resize.jpg,clutter
Jacky,000828_2014-06-04_19-48-29_260595134347_rgbf000105-resize.jpg,same room pictured 
Jacky,001234_2014-06-17_16-35-24_260595134347_rgbf000103-resize.jpg,clutter (books)
Jacky,001411_2014-06-19_16-21-54_260595134347_rgbf000171-resize.jpg,clutter
Jacky,002640_2014-06-24_14-51-49_094959634447_rgbf000071-resize.jpg,same room pictured 
Jacky,002641_2014-06-24_14-52-01_094959634447_rgbf000061-resize.jpg,same room pictured 
Jacky,002647_2014-06-24_14-54-29_094959634447_rgbf000067-resize.jpg,same room pictured 
Jacky ,002758_2014-06-22_19-11-20_094959634447_rgbf000128-resize.jpg,clutter
Jacky ,002858_2014-06-03_19-00-45_094959634447_rgbf000171-resize.jpg,clutter
Jacky,002894_2014-06-03_17-56-17_094959634447_rgbf000150-resize.jpg,clutter (books)
Jacky ,002942_2014-06-26_15-54-57_094959634447_rgbf000086-resize.jpg,review 
Jacky ,002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize.jpg,clutter
Jacky ,003093_2014-06-24_21-02-04_094959634447_rgbf000063-resize.jpg,same room pictured 
Jacky ,003102_2014-06-24_21-05-50_094959634447_rgbf000070-resize.jpg,same room pictured 
Jacky ,003099_2014-06-24_21-04-53_094959634447_rgbf000076-resize.jpg,same room pictured 
Jacky,sun_aajmrygrsoqheptx.jpg,clutter
Jacky,sun_aaytokfqmwbsyxwg.jpg,clutter
Jacky,sun_abcjxvviqsjjwuao.jpg,confusing
Jacky,sun_abufhmovlhmdarxn.jpg,clutter
Jacky,sun_abxnragferwudbgs.jpg,clutter
Jacky,sun_acnonyefptfdcngi.jpg,clutter
Jacky,sun_adbngeqzsjhrtfpi.jpg,clutter
Jacky,sun_adlatlavfglzcgrx.jpg,clutter
Jacky,sun_admavvyopdfyvmnn.jpg,clutter
Jacky,sun_advxbmssrnqlofdo.jpg,clutter
Jacky ,sun_aemuwaczsnhcvzli.jpg,clutter
Jacky ,sun_afcofuuzebuadceo.jpg,clutter
Jacky ,sun_ahkqsebojontjojs.jpg,clutter
Jacky ,sun_ahsjwikeppwlqtlx.jpg,clutter
Jacky ,sun_aqkwcvqvtzjdvuec.jpg,clutter
Jacky,sun_aslsttlwbnbjieik.jpg,clutter
Jacky,sun_avizukluogzorelh.jpg,review
Jacky,sun_awpygoncvcbwwevb.jpg,people
Jacky,sun_awwhkjgubqedifjf.jpg,people
Jacky,sun_bajlayyngiopgdzi.jpg,clutter
Jacky ,sun_bepxaqgzuwlkjzge.jpg,people
Jacky ,sun_bgzvgkeswjhfxjmf.jpg,clutter
Jacky ,sun_bjqgxdqmzsyjiase.jpg,clutter
Jacky ,sun_bjvozqfcdzzwtobu.jpg,angle
Jacky ,sun_bkdqwpptaiycyvpw.jpg,clutter
Jacky ,sun_bmlswqhfomvwnbnc.jpg,people
Jacky ,sun_bwolgpygaenfzlkn.jpg,review 
Jacky ,sun_bxwjmluoicweheir.jpg,review 
lily,000368_2014-06-09_15-53-01_260595134347_rgbf000155-resize.jpg,hard to tell mean depth
lily,000636_2014-06-08_16-39-02_260595134347_rgbf000108-resize.jpg,where is the wall
lily,000666_2014-06-09_21-05-49_260595134347_rgbf000155-resize.jpg,weird pole obstructing depth
lily,000699_2014-06-08_13-22-06_260595134347_rgbf000265-resize.jpg,where is the wall
lily,001363_2014-06-19_15-50-43_260595134347_rgbf000084-resize.jpg,is this provactive?
lily,001619_2014-06-20_11-37-45_260595134347_rgbf000103-resize.jpg,same room pictured 
lily,002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize.jpg,same room pictured 
lily,002895_2014-06-03_17-56-53_094959634447_rgbf000150-resize.jpg,same room pictured 
lily,sun_bfhlobdtmjyfhyav.jpg,people
lily,sun_bzqzzzcwdlfjmozr.jpg,clutter
lily,sun_doyfckqysjamsckb.jpg,two diff walls